Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_accident,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
2024S006765,3,Sants-Montjuïc,13,la Marina de Port,169409,Corts Catalanes,120-126,Dimecres,2024,11,Novembre,27,0,Nit,Caiguda (dues rodes),427707.675,4579681.552,2.13452800,41.36355088
2024S006766,8,Nou Barris,52,la Prosperitat,174307,Júlia,,Dimarts,2024,11,Novembre,26,21,Tarda,Col.lisió fronto-lateral,431563.435,4588806.197,2.17959162,41.44607095
2024S006767,1,Ciutat Vella,2,el Barri Gòtic,303705,Sant Jaume,4,Dimecres,2024,11,Novembre,27,3,Nit,Xoc contra element estàtic,431263.351,4581784.651,2.17679778,41.38280454
2024S006768,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal,,Dissabte,2024,11,Novembre,16,21,Tarda,Caiguda (dues rodes),430278.769,4583465.060,2.16483001,41.39785468
2024S006769,2,Eixample,8,l'Antiga Esquerra de l'Eixample,287201,Roma,149,Dimecres,2024,11,Novembre,27,7,Matí,Abast,429589.830,4582224.700,2.15673366,41.38662312
2024S006770,2,Eixample,7,la Dreta de l'Eixample,018505,Aragó,,Dimecres,2024,11,Novembre,27,7,Matí,Atropellament,430689.868,4583237.734,2.16977335,41.39584279
2024S006771,3,Sants-Montjuïc,15,Hostafrancs,169409,Corts Catalanes,255-257,Dimecres,2024,11,Novembre,27,8,Matí,Abast,428418.543,4580468.714,2.14293346,41.37070414
2024S006772,2,Eixample,7,la Dreta de l'Eixample,018505,Aragó,233,Dimecres,2024,11,Novembre,27,9,Matí,Abast,430052.919,4582636.555,2.16222429,41.39037299
2024S006773,3,Sants-Montjuïc,13,la Marina de Port,369408,Zona Franca,106,Dimecres,2024,11,Novembre,27,8,Matí,Col.lisió lateral,428262.704,4579003.567,2.14124358,41.35749417
2024S006774,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,144601,Diagonal,93,Dimecres,2024,11,Novembre,27,11,Matí,Atropellament,433664.342,4584517.829,2.20521092,41.40762330
2024S006775,1,Ciutat Vella,1,el Raval,198258,Marquès de Barberà,,Dimecres,2024,11,Novembre,27,13,Matí,Atropellament,430831.878,4581241.558,2.17169997,41.37787606
2024S006776,3,Sants-Montjuïc,18,Sants,701433,Mig (Ascendent),K7,Dimecres,2024,11,Novembre,27,13,Matí,Abast,427518.764,4580549.611,2.13216576,41.37135218
2024S006777,10,Sant Martí,64,el Camp de l'Arpa del Clot,194406,Maragall,37-39,Dimecres,2024,11,Novembre,27,13,Matí,Col.lisió fronto-lateral,431605.765,4585370.871,2.18048723,41.41513377
2024S006778,2,Eixample,8,l'Antiga Esquerra de l'Eixample,268003,Provença,,Dimecres,2024,11,Novembre,27,14,Tarda,Atropellament,429551.721,4582681.467,2.15622475,41.39073373
2024S006779,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,162400,Immaculada,,Dimecres,2024,11,Novembre,27,16,Tarda,Atropellament,426937.481,4584495.808,2.12473949,41.40684137
2024S006780,2,Eixample,5,el Fort Pienc,225500,Nàpols,150,Dimecres,2024,11,Novembre,27,14,Tarda,Atropellament,431305.782,4583388.459,2.17712320,41.39725320
2024S006781,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,701265,Litoral (Besòs),K65,Dimecres,2024,11,Novembre,27,15,Tarda,Abast multiple,434385.736,4583964.782,2.21390114,41.40270138
2024S006782,8,Nou Barris,49,Canyelles,153158,Guineueta Vella,48,Dimecres,2024,11,Novembre,27,14,Tarda,Xoc contra element estàtic,430406.122,4588623.198,2.16575942,41.44432320
2024S006783,7,Horta-Guinardó,41,la Vall d'Hebron,701268,Dalt (Llobregat),K111,Dimecres,2024,11,Novembre,27,17,Tarda,Abast,428598.708,4586926.274,2.14432557,41.42888094
2024S006784,8,Nou Barris,45,Porta,255500,Piferrer,94,Dimecres,2024,11,Novembre,27,19,Tarda,Abast,431516.302,4587473.292,2.17917859,41.43406194
2024S006785,3,Sants-Montjuïc,11,el Poble Sec,329902,Tamarit,85-87,Dimecres,2024,11,Novembre,27,20,Tarda,Col.lisió fronto-lateral,429469.184,4580894.659,2.15544571,41.37463329
2024S006786,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,101008,Tibidabo,,Dimecres,2024,11,Novembre,27,18,Tarda,Col.lisió fronto-lateral,427621.972,4585406.975,2.13281894,41.41510982
